,fips,No. of clinics per 1000 women with demand
891,20009,0.7018
892,20011,0.7042
893,20013,2.3529
894,20015,0.1340
895,20017,#VALUE!
896,20019,3.7037
897,20021,1.0753
898,20023,#VALUE!
899,20025,#VALUE!
900,20027,1.4286
901,20029,1.1236
902,20031,1.2821
903,20033,6.2500
904,20035,0.5000
905,20037,0.3745
906,20039,5.0000
907,20041,#VALUE!
908,20043,1.1765
909,20045,0.1456
910,20047,3.8462
911,20049,#VALUE!
912,20051,0.4878
913,20053,2.0833
914,20055,0.4525
915,20057,0.2532
916,20059,0.7067
917,20061,0.5671
918,20063,#VALUE!
919,20065,#VALUE!
920,20067,5.0000
921,20069,1.6393
922,20071,#VALUE!
923,20073,2.1277
924,20075,#VALUE!
925,20077,2.0408
926,20079,0.7813
927,20081,2.3256
928,20083,#VALUE!
929,20085,1.4925
930,20087,#VALUE!
931,20089,#VALUE!
932,20091,0.0692
933,20093,2.2727
934,20095,1.4085
935,20097,3.8462
936,20099,0.4902
937,20101,#VALUE!
938,20103,0.1186
939,20105,4.1667
940,20107,#VALUE!
941,20109,3.8462
942,20111,0.2000
943,20113,#VALUE!
944,20115,#VALUE!
945,20117,0.3322
946,20119,2.4390
947,20121,0.6006
948,20123,1.9231
949,20125,0.6024
950,20127,2.2222
951,20129,3.7037
952,20131,#VALUE!
953,20133,0.6623
954,20135,#VALUE!
955,20137,#VALUE!
956,20139,#VALUE!
957,20141,3.2258
958,20143,1.7544
959,20145,1.8182
960,20147,2.0833
961,20149,0.7380
962,20151,1.0870
963,20153,#VALUE!
964,20155,0.3125
965,20157,2.8571
966,20159,1.0526
967,20161,0.0730
968,20163,2.1739
969,20165,#VALUE!
970,20167,1.5873
971,20169,0.3273
972,20171,#VALUE!
973,20173,0.2804
974,20175,0.7273
975,20177,0.2924
976,20179,5.0000
977,20181,1.8519
978,20183,3.8462
979,20185,2.8571
980,20187,5.5556
981,20189,#VALUE!
982,20191,0.4202
983,20193,1.0417
984,20195,4.0000
985,20197,1.5873
986,20199,#VALUE!
987,20201,2.2222
988,20203,#VALUE!
989,20205,#VALUE!
990,20207,#VALUE!
991,20209,0.0481
992,21001,0.9217
993,21003,0.4329
994,21005,0.7782
995,21007,1.2346
996,21009,0.2053
997,21011,0.7519
998,21013,0.6897
999,21015,0.1967
1000,21017,0.4651
1001,21019,0.3968
1002,21021,0.2976
1003,21023,1.1111
1004,21025,0.7519
1005,21027,0.5525
1006,21029,0.1060
1007,21031,0.7407
1008,21033,1.6129
1009,21035,0.1721
1010,21037,0.2573
1011,21039,2.1739
1012,21041,0.9259
1013,21043,0.3559
1014,21045,0.6211
1015,21047,0.3405
1016,21049,0.2494
1017,21051,0.9756
1018,21053,2.0202
1019,21055,1.1905
1020,21057,3.2258
1021,21059,0.2650
1022,21061,0.7752
1023,21063,1.6393
1024,21065,1.4493
1025,21067,0.1488
1026,21069,0.6803
1027,21071,1.6349
1028,21073,0.1647
1029,21075,3.0769
1030,21077,2.0619
1031,21079,0.5917
1032,21081,0.3546
1033,21083,0.2475
1034,21085,0.3802
1035,21087,0.9901
1036,21089,0.2703
1037,21091,1.0989
1038,21093,0.1572
1039,21095,1.8727
1040,21097,0.5405
1041,21099,0.5525
1042,21101,0.5703
1043,21103,0.5882
1044,21105,2.3256
1045,21107,0.3984
1046,21109,1.4925
1047,21111,0.1129
1048,21113,0.1534
1049,21115,0.4425
1050,21117,0.0970
1051,21119,1.2658
1052,21121,0.8403
1053,21123,0.6494
1054,21125,0.1441
1055,21127,0.6410
1056,21129,3.3898
1057,21131,1.9048
1058,21133,1.3889
1059,21135,1.4925
1060,21137,0.3745
1061,21139,1.0989
1062,21141,0.7519
1063,21143,1.8519
1064,21145,0.3026
1065,21147,1.6129
1066,21149,0.5208
1067,21151,0.3378
1068,21153,1.9802
1069,21155,1.0582
1070,21157,0.1379
1071,21159,1.8405
1072,21161,2.0619
1073,21163,0.2994
1074,21165,1.5152
1075,21167,0.4785
1076,21169,0.9615
1077,21171,3.0000
1078,21173,0.9202
1079,21175,0.8772
1080,21177,0.9967
1081,21179,0.1894
1082,21181,1.4085
1083,21183,0.4098
1084,21185,0.1520
1085,21187,2.8846
1086,21189,4.5455
1087,21191,0.6369
1088,21193,1.4599
1089,21195,0.3373
1090,21197,0.7692
1091,21199,0.1466
1092,21201,5.5556
1093,21203,0.5556
1094,21205,0.2703
1095,21207,1.7647
1096,21209,0.1422
1097,21211,0.1751
1098,21213,0.5263
1099,21215,1.0000
1100,21217,0.3356
1101,21219,0.7813
1102,21221,0.7463
1103,21223,1.0638
1104,21225,0.6494
1105,21227,0.2197
1106,21229,0.7937
1107,21231,0.5025
1108,21233,2.2901
1109,21235,0.7059
1110,21237,1.4493
1111,21239,0.3521
1112,22001,0.2649
1113,22003,0.8811
1114,22005,0.1287
1115,22007,0.3968
1116,22009,0.7009
1117,22011,0.4902
1118,22013,2.1583
1119,22015,0.1245
1120,22017,0.1876
1121,22019,0.0782
1122,22021,1.0309
1123,22023,#VALUE!
1124,22025,3.2967
1125,22027,1.5748
1126,22029,0.9756
1127,22031,0.6431
1128,22033,0.1202
1129,22035,1.5385
1130,22037,2.6316
1131,22039,0.5848
1132,22041,1.4493
1133,22043,0.8969
1134,22045,0.2270
1135,22047,0.9877
1136,22049,0.6803
1137,22051,0.2408
1138,22053,0.5900
1139,22055,0.6667
1140,22057,0.1781
1141,22059,0.1634
1142,22061,0.1258
